,Geographic area,City,share_white,share_black,share_native_american,share_asian,share_hispanic
3306,CA,Tracy city,52.7,7.2,0.9,14.7,36.9
3307,CA,Tranquillity CDP,63.1,1.1,1.6,0.3,79.7
3308,CA,Traver CDP,42.4,0.1,3.1,0.8,77.3
3309,CA,Tres Pinos CDP,81.9,0.6,1.7,1.3,23.5
3310,CA,Trinidad city,90.2,0.5,4.1,0.5,3
3311,CA,Trinity Center CDP,93.3,0,2.6,0.4,4.1
3312,CA,Trinity Village CDP,90.6,0.3,6.1,0,1.3
3313,CA,Trona CDP,100,0,0,0,0
3314,CA,Trowbridge CDP,73.9,1.3,2.2,11.1,16.8
3315,CA,Truckee town,86.5,0.4,0.6,1.5,18.6
3316,CA,Tulare city,61.3,3.9,1.2,2.2,57.5
3317,CA,Tulelake city,55.7,0.1,1.5,0.1,59.5
3318,CA,Tuolumne City CDP,87,0.7,4.7,0.7,11.6
3319,CA,Tupman CDP,92.5,0,0,0,7.5
3320,CA,Turlock city,69.8,1.7,0.9,5.6,36.4
3321,CA,Tustin city,52.6,2.3,0.6,20.3,39.7
3322,CA,Tuttle CDP,74.8,5.8,0,5.8,30.1
3323,CA,Tuttletown CDP,91.8,0.7,2.1,0.7,7.2
3324,CA,Twain CDP,91.5,0,2.4,0,17.1
3325,CA,Twain Harte CDP,91,0.2,1.5,1.4,7.7
3326,CA,Twentynine Palms city,71.6,8.2,1.3,3.9,20.8
3327,CA,Twin Lakes CDP,79.3,1.4,1.2,2.6,22.6
3328,CA,Ukiah city,72.1,1.1,3.7,2.6,27.7
3329,CA,Union City city,23.9,6.3,0.5,50.9,22.9
3330,CA,University of California Davis CDP,42.2,2.5,0.4,42.2,12.6
3331,CA,University of California Merced CDP,(X),(X),(X),(X),(X)
3332,CA,Upland city,65.6,7.3,0.7,8.4,38
3333,CA,Upper Lake CDP,80,0.7,3.1,0.7,23
3334,CA,Vacaville city,66.3,10.3,0.9,6.1,22.9
3335,CA,Valinda CDP,48.5,1.9,1.1,11.9,78.8
3336,CA,Vallecito CDP,90,0,1.4,2.5,7.5
3337,CA,Vallejo city,32.8,22.1,0.7,24.9,22.6
3338,CA,Valle Vista CDP,79.2,3,1.7,1.9,27.6
